Chapter,Question,marks,blooms level,,,,,,,,
3," Show that the 8-puzzle states are divided into two disjoint sets, such that any state is reachable from any other state in the same set, while no state is reachable from any state in the other set. (Hint: See Berlekamp et al. (1982).) Devise a procedure to decide which set a given state is in, and explain why this is useful for generating random states. ",10,1,,,,,,,,
3,Consider the n-queens problem using the “ef?cient” incremental formulation given on page 72. Explain why the state space has at least 3 ? n! states and estimate the largest n for which exhaustive exploration isfeasible. (Hint: Derivea lowerbound on the branching factor byconsidering themaximumnumberofsquares thataqueen can attack inanycolumn.) ,6,5,,,,,,,,
3,"De?ne in your own words the following terms: state, state space, search tree, search node, goal, action, transition model, and branching factor. ",5,1,,,,,,,,
3,"What’s the difference between a world state, a state description, and a search node? Why is this distinction useful? ",3,1,,,,,,,,
3,"Consider a state space where the start state is number 1 and each state k has two successors: numbers 2k and 2k +1 . a. Draw the portion of the state space for states 1 to 15. b. Suppose the goal state is 11. List the order in which nodes will be visited for breadth?rst search, depth-limited search with limit 3, and iterative deepening search. c. How well would bidirectional search work on this problem? What is the branching factor in each direction of the bidirectional search? d. Does the answer to (c) suggest a reformulation of the problem that would allow you to solve the problem of getting from state 1 to a given goal state with almost no search? e. Call the action going from k to 2k Left, and the action going to 2k +1Right. Can you ?nd an algorithm that outputs the solution to this problem without any search at all?",10,6,,,,,,,,
8,Consider a knowledge base containing just two sentences: P(a) and P(b). Does this knowledge base entail ? x P(x)? Explain your answer in terms of models,8,2,,,,,,,,
8,"Is the sentence ? x, y x = y valid? Explain.",3,2,,,,,,,,
8,Write down a logical sentence such that every world in which it is true contains exactly one object,3,3,,,,,,,,
8,"Does the fact ¬Spouse(George, Laura) follow from the facts Jim = George and Spouse(Jim, Laura)? If so, give a proof; if not, supply additional axioms as needed. What happens if we use Spouse as a unary function symbol instead of a binary predicate?",5,3,,,,,,,,
8,"Explain what is wrong with the following proposed definition of the set membership predicate ? : ? x, s x? {x|s} ? x, s x? s ? ? y x? {y|s} .",3,2,,,,,,,,
8,"Using the set axioms as examples, write axioms for the list domain, including all the constants, functions, and predicates mentioned in the chapter",4,1,,,,,,,,
8,"Write out the axioms required for reasoning about the wumpus’s location, using a constant symbol Wumpus and a binary predicate At(Wumpus, Location). Remember that there is only one wumpus.",5,1,,,,,,,,
8,"Explain what is wrong with the following proposed definition of adjacent squares in the wumpus world: ? x, y Adjacent([x, y], [x + 1, y]) ? Adjacent([x, y], [x, y + 1])",5,2,,,,,,,,
8,"Write in first-order logic the assertion that every key and at least one of every pair of socks will eventually be lost forever, using only the following vocabulary: Key(x), x is a key; Sock(x), x is a sock; Pair (x, y), x and y are a pair; Now, the current time; Before(t1, t2), time t1 comes before time t2; Lost(x, t), object x is lost at time t.",8,6,,,,,,,,
8,Write a general set of facts and axioms to represent the assertion “Wellington heard about Napoleon’s death” and to correctly answer the question “Did Napoleon hear about Wellington’s death?”,4,2,,,,,,,,
8,"Extend the vocabulary from Section 8.4 to define addition for n-bit binary numbers. Then encode the description of the four-bit adder in Figure 8.8, and pose the queries needed to verify that it is in fact correct.",5,6,,,,,,,,
8," No region in South America borders any region in Europe. (i) ¬[?c,d In(c,SouthAmerica) ? In(d,Europe) ? Borders(c,d)]. (ii) ?c,d [In(c,SouthAmerica) ? In(d,Europe)] ?¬Borders(c,d)]. (iii) ¬?c In(c,SouthAmerica) ?? d In(d,Europe) ?¬Borders(c,d). (iv) ?c In(c,SouthAmerica) ?? d In(d,Europe) ?¬Borders(c,d). ",5,3,,,,,,,,
9,Prove that Universal Instantiation is sound and that Existential Instantiation produces an inferentially equivalent knowledge base.,8,5,,,,,,,,
9,"From Likes(Jerry,IceCream) it seems reasonable to infer ? x Likes(x,IceCream). Write down a general inference rule, Existential Introduction, that sanctions this inference. EXISTENTIAL INTRODUCTION State carefully the conditions that must be satisfied by the variables and terms involved",5,2,,,,,,,,
9,"Write down logical representations for the following sentences, suitable for use with Generalized Modus Ponens: a. Horses, cows, and pigs are mammals. b. An offspring of a horse is a horse. c. Bluebeard is a horse. d. Bluebeard is Charlie’s parent. e. Offspring and parent are inverse relations. f. Every mammal has a parent.",8,3,,,,,,,,
9,Explain how to write any given 3-SAT problem of arbitrary size using a single first-order definite clause and no more than 30 ground facts.,4,2,,,,,,,,
9,"A popular children’s riddle is “Brothers and sisters have I none, but that man’s father is my father’s son.” Use the rules of the family domain (Section 8.3.2 on page 301) to show who that man is. You may apply any of the inference methods described in this chapter. Why do you think that this riddle is difficult?",5,3,,,,,,,,
9,"One might suppose that we can avoid the problem of variable conflict in unification during backward chaining by standardizing apart all of the sentences in the knowledge base once and for all. Show that, for some sentences, this approach cannot work.",4,2,,,,,,,,
9,"Trace the execution of the backward-chaining algorithm in Figure 9.6 (page 338) when it is applied to solve the crime problem (page 330). Show the sequence of values taken on by the goals variable, and arrange them into a tree.",6,2,,,,,,,,
9,How can resolution be used to show that a sentence is valid? Unsatisfiable?,3,2,,,,,,,,
9, Construct an example of two clauses that can be resolved together in two different ways giving two different outcomes.,5,6,,,,,,,,
9,"Resolution can produce nonconstructive proofs for queries with variables, so we had to introduce special mechanisms to extract definite answers. Explain why this issue does not arise with knowledge bases containing only definite clauses",4,2,,,,,,,,
9,We said in this chapter that resolution cannot be used to generate all logical consequences of a set of sentences. Can any algorithm do this?,4,4,,,,,,,,
9," Suppose you are given the following axioms: 1. 0 ? 3. 2. 7 ? 9. 3. ?xx ? x. 4. ?xx ? x +0 . 5. ?xx +0? x. 6. ?x,y x + y ? y + x. 7. ?w,x,y,z w ? y ? x ? z ? w + x ? y + z. 8. ?x,y,z x ? y ? y ? z ? x ? z a. Give a backward-chaining proof of the sentence 7 ? 3+9. (Be sure, of course, to use only the axioms given here, not anything else you may know about arithmetic.) Show only the steps that leads to success, not the irrelevant steps. b. Give a forward-chaining proof of the sentence 7 ? 3+9. Again, show only the steps that lead to success.
",8,5,,,,,,,,
10,Describe the differences and similarities between problem solving and planning.,4,2,,,,,,,,
10,"Given the action schemas and initial state from Figure 10.1, what are all the applicable concrete instances of Fly(p, from,to) in the state described by At(P1, JFK) ? At(P2, SFO) ? Plane(P1) ? Plane(P2) ? Airport(JFK ) ? Airport(SFO) ?",5,3,,,,,,,,
10,Explain why dropping negative effects from every action schema in a planning problem results in a relaxed problem,4,2,,,,,,,,
10,Prove that backward search with PDDL problems is complete,8,5,,,,,,,,
10,"We contrasted forward and backward state-space searchers with partial-order planners, saying that the latter is a plan-space searcher. Explain how forward and backward statespace search can also be considered plan-space searchers, and say what the plan refinement operators are",8,2,,,,,,,,
10,"4 Up to now we have assumed that the plans we create always make sure that an action’s preconditions are satisfied. Let us now investigate what propositional successor-state axioms such as HaveArrowt+1 ? (HaveArrowt ? ¬Shoott ) have to say about actions whose preconditions are not satisfied. a. Show that the axioms predict that nothing will happen when an action is executed in a state where its preconditions are not satisfied. b. Consider a plan p that contains the actions required to achieve a goal but also includes illegal actions. Is it the case that initial state ? successor-state axioms ? p |= goal ? c. With first-order successor-state axioms in situation calculus, is it possible to prove that a plan containing illegal actions will achieve the goal?",10,2,,,,,,,,
10," In the SATPLAN algorithm in Figure 7.22 (page 272), each call to the satis?ability algorithm asserts a goal gT, whereT ranges from 0 to Tmax. Suppose instead that the satis?ability algorithm is called only once, with the goal g0 ? g1 ?···?gTmax. a. Will this always return a plan if one exists with length less than or equal to Tmax? b. Does this approach introduce any new spurious “solutions”? c. Discuss how one might modify a satis?ability algorithm such as WALKSAT so that it ?nds short solutions (if they exist) when given a disjunctive goal of this form.",8,6,,,,,,,,
11,"The goals we have considered so far all ask the planner to make the world satisfy the goal at just one time step. Not all goals can be expressed this way: you do not achieve the goal of suspending a chandelier above the ground by throwing it in the air. More seriously, you wouldn’t want your spacecraft life-support system to supply oxygen one day but not the next. A maintenance goal is achieved when the agent’s plan causes a condition to hold continuously from a given state onward. Describe how to extend the formalism of this chapter to support maintenance goals.",,,,,,,,,,
11,"You have a number of trucks with which to deliver a set of packages. Each package starts at some location on a grid map, and has a destination somewhere else. Each truck is directly controlled by moving forward and turning. Construct a hierarchy of high-level actions for this problem. What knowledge about the solution does your hierarchy encode?",,,,,,,,,,
11,"Suppose that a high-level action has exactly one implementation as a sequence of primitive actions. Give an algorithm for computing its preconditions and effects, given the complete refinement hierarchy and schemas for the primitive actions",,,,,,,,,,
11,Suppose that the optimistic reachable set of a high-level plan is a superset of the goal set; can anything be concluded about whether the plan achieves the goal? What if the pessimistic reachable set doesn’t intersect the goal set? Explain,,,,,,,,,,
11,Write an algorithm that takes an initial state (specified by a set of propositional literals) and a sequence of HLAs (each defined by preconditions and angelic specifications of optimistic and pessimistic reachable sets) and computes optimistic and pessimistic descriptions of the reachable set of the sequence.,,,,,,,,,,
11,"In Figure 11.2 we showed how to describe actions in a scheduling problem by using separate fields for DURATION, USE, and CONSUME. Now suppose we wanted to combine scheduling with nondeterministic planning, which requires nondeterministic and conditional effects. Consider each of the three fields and explain if they should remain separate fields, or if they should become effects of the action. Give an example for each of the three",,,,,,,,,,
11,"Suppose the Flip action always changes the truth value of variable L. Show how to define its effects by using an action schema with conditional effects. Show that, despite the use of conditional effects, a 1-CNF belief state representation remains in 1-CNF after a Flip",,,,,,,,,,
11,"In the blocks world we were forced to introduce two action schemas, Move and MoveToTable, in order to maintain the Clear predicate properly. Show how conditional effects can be used to represent both of these cases with a single action.",,,,,,,,,,
11,"Conditional effects were illustrated for the Suck action in the vacuum world—which square becomes clean depends on which square the robot is in. Can you think of a new set of propositional variables to define states of the vacuum world, such that Suck has an unconditional description? Write out the descriptions of Suck, Left, and Right, using your propositions, and demonstrate that they suffice to describe all possible states of the world",,,,,,,,,,
11,"To the medication problem in the previous exercise, add a Test action that has the conditional effect CultureGrowth when Disease is true and in any case has the perceptual effect Known(CultureGrowth). Diagram a conditional plan that solves the problem and minimizes the use of the Medicate action.",,,,,,,,,,
11,"Find a suitably dirty carpet, free of obstacles, and vacuum it. Draw the path taken by the vacuum cleaner as accurately as you can. Explain it, with reference to the forms of planning discussed in this chapter.",,,,,,,,,,
11,"To the medication problem in the previous exercise, add a Test action that has the conditional effect CultureGrowth when Disease is true and in any case has the perceptual effect Known(CultureGrowth). Diagram a conditional plan that solves the problem and minimizes the use of the Medicate action",,,,,,,,,,
12,"Define an ontology in first-order logic for tic-tac-toe. The ontology should contain situations, actions, squares, players, marks (X, O, or blank), and the notion of winning, losing, or drawing a game. Also define the notion of a forced win (or draw): a position from which a player can force a win (or draw) with the right sequence of actions. Write axioms for the domain",,,,,,,,,,
12,"Extend it to include as many real categories as possible. A good way to do this is to cover all the things in your everyday life. This includes objects and events. Start with waking up, and proceed in an orderly fashion noting everything that you see, touch, do, and think about. For example, a random sampling produces music, news, milk, walking, driving, gas, Soda Hall, carpet, talking, Professor Fateman, chicken curry, tongue, $7, sun, the daily newspaper, and so on. You should produce both a single hierarchy chart (on a large sheet of paper) and a listing of objects and categories with the relations satisfied by members of each category. Every object should be in a category, and every category should be in the hierarchy",,,,,,,,,,
12,"Develop a representational system for reasoning about windows in a window-based computer interface. In particular, your representation should be able to describe: • The state of a window: minimized, displayed, or nonexistent. • Which window (if any) is the active window. • The position of every window at a given time. • The order (front to back) of overlapping windows. • The actions of creating, destroying, resizing, and moving windows; changing the state of a window; and bringing a window to the front. Treat these actions as atomic; that is, do not deal with the issue of relating them to mouse actions. Give axioms describing the effects of actions on fluents. You may use either event or situation calculus.",,,,,,,,,,
12,"State the following in the language you developed for the previous exercise: a. In situation S0, window W1 is behind W2 but sticks out on the left and right. Do not state exact coordinates for these; describe the general situation. b. If a window is displayed, then its top edge is higher than its bottom edge. c. After you create a window w, it is displayed. d. A window can be minimized if it is displayed.",,,,,,,,,,
12,"Make the necessary additions or changes to your knowledge base from the previous exercise so that the questions that follow can be answered. Include in your report a discussion of your changes, explaining why they were needed, whether they were minor or major, and what kinds of questions would necessitate further changes. a. Are there other people in Safeway while John is there? [Yes—staff!] b. Is John a vegetarian? [No] c. Who owns the deodorant in Safeway? [Safeway Corporation] d. Did John have an ounce of ground beef? [Yes] e. Does the Shell station next door have any gas? [Yes] f. Do the tomatoes fit in John’s car trunk? [Yes]",,,,,,,,,,
12,Represent the following seven sentences using and extending the representations developed in the chapter: a. Water is a liquid between 0 and 100 degrees. b. Water boils at 100 degrees. c. The water in John’s water bottle is frozen. d. Perrier is a kind of water. e. John has Perrier in his water bottle. f. All liquids have a freezing point. g. A liter of water weighs more than a liter of alcohol.,,,,,,,,,,
12,"An alternative scheme for representing measures involves applying the units function to an abstract length object. In such a scheme, one would write Inches(Length(L1)) = 1.5. How does this scheme compare with the one in the chapter? Issues include conversion axioms, names for abstract quantities (such as “50 dollars”), and comparisons of abstract measures in different units (50 inches is more than 50 centimeters).",,,,,,,,,,
12,"Add sentences to extend the definition of the predicate Name(s, c) so that a string such as “laptop computer” matches the appropriate category names from a variety of stores. Try to make your definition general. Test it by looking at ten online stores, and at the category names they give for three different categories. For example, for the category of laptops, we found the names “Notebooks,” “Laptops,” “Notebook Computers,” “Notebook,” “Laptops and Notebooks,” and “Notebook PCs.” Some of these can be covered by explicit Name facts, while others could be covered by sentences for handling plurals, conjunctions, etc.",,,,,,,,,,
12,Investigate ways to extend the event calculus to handle simultaneous events. Is it possible to avoid a combinatorial explosion of axioms?,,,,,,,,,,
12,Construct a representation for exchange rates between currencies that allows for daily fluctuations.,,,,,,,,,,
12,"Define the predicate Fixed, where Fixed(Location(x)) means that the location of object x is fixed over time",,,,,,,,,,
12,Describe the event of trading something for something else. Describe buying as a kind of trading in which one of the objects traded is a sum of money.,,,,,,,,,,
12,"The two preceding exercises assume a fairly primitive notion of ownership. For example, the buyer starts by owning the dollar bills. This picture begins to break down when, for example, one’s money is in the bank, because there is no longer any specific collection of dollar bills that one owns. The picture is complicated still further by borrowing, leasing, renting, and bailment. Investigate the various commonsense and legal concepts of ownership, and propose a scheme by which they can be represented formally.",,,,,,,,,,
12,"Translate the following description logic expression (from page 457) into first-order logic, and comment on the result: And(Man, AtLeast(3, Son), AtMost(2, Daughter ), All(Son, And(Unemployed, Married, All(Spouse, Doctor ))), All(Daughter , And(Professor ,Fills(Department,Physics, Math)))) .",,,,,,,,,,
12,"3 One part of the shopping process that was not covered in this chapter is checking for compatibility between items. For example, if a digital camera is ordered, what accessory batteries, memory cards, and cases are compatible with the camera? Write a knowledge base that can determine the compatibility of a set of items and suggest replacements or additional items if the shopper makes a choice that is not compatible. The knowledge base should works with at least one line of products and extend easily to other lines.",,,,,,,,,,
12,"Our description of Internet shopping omitted the all-important step of actually buying the product. Provide a formal logical description of buying, using event calculus. That is, define the sequence of events that occurs when a buyer submits a credit-card purchase and then eventually gets billed and receives the product.",,,,,,,,,,
12,"One might suppose that the syntactic distinction between unboxed links and singly boxed links in semantic networks is unnecessary, because singly boxed links are always attached to categories; an inheritance algorithm could simply assume that an unboxed link attached to a category is intended to apply to all members of that category. Show that this argument is fallacious, giving examples of errors that would arise.",,,,,,,,,,
12,"Translate the following description logic expression (from page 457) into ?rst-order logic, and comment on the result: And(Man,AtLeast(3,Son),AtMost(2,Daughter), All(Son,And(Unemployed,Married,All(Spouse,Doctor))), All(Daughter,And(Professor,Fills(Department,Physics,Math)))) .",,,,,,,,,,
13,Show from first principles that P(a | b ? a)=1.,,,,,,,,,,
13,"Using the axioms of probability, prove that any probability distribution on a discrete random variable must sum to 1.",,,,,,,,,,
13,"For each of the following statements, either prove it is true or give a counterexample. a. If P(a | b, c) = P(b | a, c), then P(a | c) = P(b | c) b. If P(a | b, c) = P(a), then P(b | c) = P(b) c. If P(a | b) = P(a), then P(a | b, c) = P(a | c)",,,,,,,,,,
13,"Would it be rational for an agent to hold the three beliefs P(A)=0.4, P(B)=0.3, and P(A ? B)=0.5? If so, what range of probabilities would be rational for the agent to hold for A ? B? Make up a table like the one in Figure 13.2, and show how it supports your argument about rationality. Then draw another version of the table where P(A ? B)=0.7. Explain why it is rational to have this probability, even though the table shows one case that is a loss and three that just break even",,,,,,,,,,
13,"This question deals with the properties of possible worlds, defined on page 488 as assignments to all random variables. We will work with propositions that correspond to exactly one possible world because they pin down the assignments of all the variables. In ATOMIC EVENT probability theory, such propositions are called atomic events. For example, with Boolean variables X1, X2, X3, the proposition x1 ? ¬x2 ? ¬x3 fixes the assignment of the variables; in the language of propositional logic, we would say it has exactly one model. a. Prove, for the case of n Boolean variables, that any two distinct atomic events are mutually exclusive; that is, their conjunction is equivalent to false. b. Prove that the disjunction of all possible atomic events is logically equivalent to true. c. Prove that any proposition is logically equivalent to the disjunction of the atomic events that entail its truth.",,,,,,,,,,
13,"Consider the set of all possible five-card poker hands dealt fairly from a standard deck of fifty-two cards. a. How many atomic events are there in the joint probability distribution (i.e., how many five-card hands are there)? b. What is the probability of each atomic event? c. What is the probability of being dealt a royal straight flush? Four of a kind?",,,,,,,,,,
13,"Given the full joint distribution shown in Figure 13.3, calculate the following: a. P(toothache). b. P(Cavity). c. P(Toothache | cavity). d. P(Cavity | toothache ? catch).",,,,,,,,,,
13,"In his letter of August 24, 1654, Pascal was trying to show how a pot of money should be allocated when a gambling game must end prematurely. Imagine a game where each turn consists of the roll of a die, player E gets a point when the die is even, and player O gets a point when the die is odd. The first player to get 7 points wins the pot. Suppose the game is interrupted with E leading 4–2. How should the money be fairly split in this case? What is the general formula",,,,,,,,,,
13,"Consider two medical tests, A and B, for a virus. Test A is 95% effective at recognizing the virus when it is present, but has a 10% false positive rate (indicating that the virus is present, when it is not). Test B is 90% effective at recognizing the virus, but has a 5% false positive rate. The two tests use independent methods of identifying the virus. The virus is carried by 1% of all people. Say that a person is tested for the virus using only one of the tests, and that test comes back positive for carrying the virus. Which test returning positive is more indicative of someone really carrying the virus? Justify your answer mathematically",,,,,,,,,,
13,Suppose you are given a coin that lands heads with probability x and tails with probability 1 ? x. Are the outcomes of successive flips of the coin independent of each other given that you know the value of x? Are the outcomes of successive flips of the coin independent of each other if you do not know the value of x? Justify your answer,,,,,,,,,,
13,"After your yearly checkup, the doctor has bad news and good news. The bad news is that you tested positive for a serious disease and that the test is 99% accurate (i.e., the probability of testing positive when you do have the disease is 0.99, as is the probability of testing negative when you don’t have the disease). The good news is that this is a rare disease, striking only 1 in 10,000 people of your age. Why is it good news that the disease is rare? What are the chances that you actually have the disease",,,,,,,,,,
13,"Redo the probability calculation for pits in [1,3] and [2,2], assuming that each square contains a pit with probability 0.01, independent of the other squares. What can you say about the relative performance of a logical versus a probabilistic agent in this case?",,,,,,,,,,
13,"In our analysis of the wumpus world, we used the fact that each square contains a pit with probability 0.2, independently of the contents of the other squares. Suppose instead that exactly N/5 pits are scattered at random among the N squares other than [1,1]. Are the variables Pi,j and Pk,l still independent? What is the joint distribution P(P1,1,...,P4,4) now? Redo the calculation for the probabilities of pits in [1,3] and [2,2].",,,,,,,,,,
13,"Let X, Y , Z be Boolean random variables. Label the eight entries in the joint distribution P(X, Y, Z) as a through h. Express the statement that X and Y are conditionally independent given Z, as a set of equations relating a through h. How many nonredundant equations are there?",,,,,,,,,,
13,"In this exercise, you will complete the normalization calculation for the meningitis example. First, make up a suitable value for P(s | ¬m), and use it to calculate unnormalized values for P(m | s) and P(¬m | s) (i.e., ignoring the P(s) term in the Bayes’ rule expression, Equation (13.14)). Now normalize these values so that they add to 1",,,,,,,,,,
13," Show that the statement of conditional independence P(X,Y |Z)=P(X |Z)P(Y |Z) is equivalent to each of the statements P(X |Y,Z)=P(X |Z) and P(B |X,Z)=P(Y |Z) .",,,,,,,,,,
13,"Let X, Y , Z be Boolean random variables. Label the eight entries in the joint distribution P(X,Y,Z) as a through h. Express the statement that X and Y are conditionally independent given Z, as a set of equations relating a through h. How manynonredundant equations are there? ",,,,,,,,,,
14,"We have a bag of three biased coins a, b, and c with probabilities of coming up heads of 20%, 60%, and 80%, respectively. One coin is drawn randomly from the bag (with equal likelihood of drawing each of the three coins), and then the coin is flipped three times to generate the outcomes X1, X2, and X3. a. Draw the Bayesian network corresponding to this setup and define the necessary CPTs. b. Calculate which coin was most likely to have been drawn from the bag if the observed flips come out heads twice and tails once.",,,,,,,,,,
14,"Consider the Bayesian network in Figure 14.2. a. If no evidence is observed, are Burglary and Earthquake independent? Prove this from the numerical semantics and from the topological semantics. b. If we observe Alarm = true, are Burglary and Earthquake independent? Justify your answer by calculating whether the probabilities involved satisfy the definition of conditional independence",,,,,,,,,,
14,"Suppose that in a Bayesian network containing an unobserved variable Y , all the variables in the Markov blanket MB(Y ) have been observed. a. Prove that removing the node Y from the network will not affect the posterior distribution for any other unobserved variable in the network. b. Discuss whether we can remove Y if we are planning to use (i) rejection sampling and (ii) likelihood weighting.",,,,,,,,,,
14,"The probit distribution defined on page 522 describes the probability distribution for a Boolean child, given a single continuous parent. a. How might the definition be extended to cover multiple continuous parents? b. How might it be extended to handle a multivalued child variable? Consider both cases where the child’s values are ordered (as in selecting a gear while driving, depending on speed, slope, desired acceleration, etc.) and cases where they are unordered (as in selecting bus, train, or car to get to work)",,,,,,,,,,
14,"Consider the network shown in Figure 14.22(ii), and assume that the two telescopes work identically. N ? {1, 2, 3} and M1, M2 ? {0, 1, 2, 3, 4}, with the symbolic CPTs as described in Exercise 14.12. Using the enumeration algorithm (Figure 14.9 on page 525), calculate the probability distribution P(N | M1 = 2, M2 = 2).",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
